,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,780,Dcover Jcover-fuzz,time(Seconds):,1411,Jcover test verification on,time(Seconds):,725
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
jDMN: Core,com.gs.dmn.tck,TCKTestCasesToJUnitTransformer,,,,39,0,0.0,39,0,0.0,39,0,0.0
jDMN: Core,com.gs.dmn.tck,TCKUtil,,,,270,69,0.20353982300884957,270,69,0.20353982300884957,339,0,0.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax,ErrorListener,,,,0,3,1.0,0,3,1.0,3,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.xml,DefaultDurationType,,,,66,3,0.043478260869565216,66,3,0.043478260869565216,69,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.xml,DefaultTimeType,,,,31,3,0.08823529411764706,31,3,0.08823529411764706,34,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.xml,FEELXMLGregorianCalendar,,,,438,276,0.3865546218487395,390,324,0.453781512605042,714,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.xml,DoubleDefaultDurationType,,,,66,3,0.043478260869565216,66,3,0.043478260869565216,69,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.xml,DefaultDateTimeType,,,,31,3,0.08823529411764706,31,3,0.08823529411764706,34,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.xml,DefaultXMLCalendarType,,,,40,3,0.06976744186046512,40,3,0.06976744186046512,43,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type.time.xml,DefaultDateType,,,,31,3,0.08823529411764706,31,3,0.08823529411764706,34,0,0.0
jDMN: Core,com.gs.dmn.feel.lib.type,BaseType,,,,4,3,0.42857142857142855,4,3,0.42857142857142855,2,5,0.7142857142857143
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,TestCases,n/a,n/a,Could not find file,9,1,0.1,9,1,0.1,0,10,1.0
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,ValueType.List,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,TestCases.TestCase.ExtensionElements,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,TestCaseType,n/a,n/a,Could not find file,5,7,0.5833333333333334,5,7,0.5833333333333334,4,8,0.6666666666666666
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,ValueType.ExtensionElements,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,ValueType,n/a,n/a,Could not find file,8,7,0.4666666666666667,8,7,0.4666666666666667,0,15,1.0
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,TestCases.TestCase.InputNode,n/a,n/a,Could not find file,2,2,0.5,2,2,0.5,2,2,0.5
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,TestCases.TestCase.ResultNode,n/a,n/a,Could not find file,19,2,0.09523809523809523,19,2,0.09523809523809523,13,8,0.38095238095238093
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,ObjectFactory,n/a,n/a,Could not find file,16,0,0.0,16,0,0.0,0,16,1.0
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,TestCases.TestCase,n/a,n/a,Could not find file,22,7,0.2413793103448276,22,7,0.2413793103448276,13,16,0.5517241379310345
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,TestCases.Labels,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,0,4,1.0
jDMN: Core,org.omg.dmn.tck.marshaller._20160719,ValueType.Component,n/a,n/a,Could not find file,4,0,0.0,4,0,0.0,2,2,0.5
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.function,FunctionInvocation,,,,62,10,0.1388888888888889,62,10,0.1388888888888889,68,4,0.05555555555555555
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.function,ParameterConversions,,,,0,1,1.0,0,1,1.0,0,1,1.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.function,DeclarationMatch,,,,0,8,1.0,0,8,1.0,0,8,1.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.function,ConversionKind,,,,0,2,1.0,0,2,1.0,0,2,1.0
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.function,PositionalParameterConversions,,,,11,9,0.45,11,9,0.45,6,14,0.7
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.function,Context,,,,11,18,0.6206896551724138,11,18,0.6206896551724138,24,5,0.1724137931034483
jDMN: Core,com.gs.dmn.feel.analysis.syntax.ast.expression.function,NamedParameters,,,,8,28,0.7777777777777778,8,28,0.7777777777777778,19,17,0.4722222222222222
